path,size_bytes,role,decision,notes
docs/V1_1_3_EXPORT_CANCEL_AND_PURGE_HARDENING.md,935,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_1_4_BPLIST_AND_GUI_STATE_HARDENING.md,763,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_1_5_1_BUILD_HOTFIX.md,365,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_1_5_AFF4_CANCEL_AND_UPLOAD_GUARDS.md,1574,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_1_6_1_AFF4_WORKER_WINDOWS_BUILD_HOTFIX.md,668,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_1_6_AFF4_PROBE_WORKER_DIRECT_MAP_SPLIT.md,987,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_1_7_1_BUILD_HOTFIX_AND_PACKAGE_CLEANUP.md,994,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_1_7_AFF4_PROBE_WORKER_DYNAMIC_RELOCATION.md,1146,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/V1_1_8_WINDOWS_PATH_AND_HISTORY_BASELINE.md,920,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/VALIDATION_HISTORY.md,7431,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/VALIDATION_STATUS.md,6580,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/VERSION_HISTORY_APPEND_ONLY_POLICY.md,948,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
docs/WORKFLOW_LEDGER.md,11761,source-controlled documentation/history/roadmap/manual,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
third_party/lzfse/README.md,2582,third-party/vendored dependency documentation or build metadata,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_23_validation_notes.md,2037,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_25_validation_notes.md,2252,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_26_1_validation_notes.md,1671,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_26_validation_notes.md,1378,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_27_validation_notes.md,1449,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_29_validation_notes.md,2025,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_30_validation_notes.md,3361,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_31_validation_notes.md,953,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_0_1_validation_notes.md,865,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_0_validation_notes.md,1718,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_1_validation_notes.md,1977,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_2_validation_notes.md,2254,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_3_validation_notes.md,1780,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_4_validation_notes.md,2631,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_5_1_validation_notes.md,927,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_5_validation_notes.md,1991,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_6_1_validation_notes.md,1703,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_6_validation_notes.md,1751,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_7_1_validation_notes.md,2011,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_7_validation_notes.md,907,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_1_8_validation_notes.md,1703,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
CMakeLists.txt,2989,root entrypoint metadata/documentation,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
VERSION.txt,6,root entrypoint metadata/documentation,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
scripts/Run-V1_1_9-macOS-AFF4-Probe-AndZip.txt,760,current version or project automation script,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
third_party/lzfse/CMakeLists.txt,4231,third-party/vendored dependency documentation or build metadata,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
third_party/lzfse/VESTIGANT_VENDOR_MANIFEST.txt,500,third-party/vendored dependency documentation or build metadata,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_10_validation_summary.txt,767,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_12_validation_summary.txt,1220,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_15_validation_summary.txt,1351,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_18_validation_summary.txt,1303,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_20_validation_summary.txt,645,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_21_validation_summary.txt,868,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_22_validation_summary.txt,552,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_25_patch_manifest.txt,1615,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_26_patch_manifest.txt,1169,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_6_linux_validation_summary.txt,1085,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
validation/V1_0_7_validation_summary.txt,857,historical validation note retained for audit/version continuity,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
scripts/Build-V1_1_9.ps1,2085,current version or project automation script,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
scripts/Create-GitHubLabels.ps1,1157,current version or project automation script,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
scripts/Create-GitHubProjectIssues.ps1,2700,current version or project automation script,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
scripts/Initialize-GitHubRepo.ps1,1018,current version or project automation script,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
scripts/Launch-V1_1_9-GUI.ps1,603,current version or project automation script,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
scripts/New-ReleaseBranch.ps1,260,current version or project automation script,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
scripts/Package-GitHubValidationBundle.ps1,1208,current version or project automation script,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
scripts/Package-V1_1_9-macOS-AFF4-ThinFromExistingCase.ps1,1823,current version or project automation script,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
scripts/Run-Local-WindowsBuild.ps1,400,current version or project automation script,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
scripts/Run-V1_1_9-macOS-AFF4-Probe-AndZip.ps1,1765,current version or project automation script,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
scripts/Sync-Version-To-GitRepo.ps1,1853,current version or project automation script,KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Build-Aff4CppLite-VS2022.ps1,19842,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Collect-iOSCoreSpotlightQuickDiagnostics.ps1,15428,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Compare-ExternalSpotlightReference.ps1,22329,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Create-ApfsRemainingMismatchDiagnostics.ps1,9717,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Create-SourceProbeUploadZip.ps1,21309,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Create-UploadZip.ps1,6241,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Extract-IosCoreSpotlightFromZips.ps1,3739,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Extract-iOSCoreSpotlightFromFFSZips.ps1,3862,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Prepare-LzfseThirdParty.ps1,2040,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Probe-Aff4DirectMapScan.ps1,5041,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Run-IosCoreSpotlightFocusedZip.ps1,2975,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Run-SingleAff4SourceProbeAndZip.ps1,27806,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Run-iOSCoreSpotlightFocusedAndZip.ps1,2045,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Search-SpotlightKeywordExports.ps1,6609,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
tools/Stage-EvidenceSource.ps1,15022,"tooling/helper script used by build, probe, upload, comparison, or diagnostics workflow",KEEP,"Retained; required for new-chat continuation, build/test workflows, append-only history, or audit trail."
